"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
3.19739021442636,3.19736142547251,3.19736110789705,3.19736110439382,3.19736110435518,3.19736110435475,3.19736110435475,3.19736110435475,3.19736110435475,3.19736110435475,3.19736110435475,3.19736110435475
1.77799638268745,1.77665054165625,1.77663569547283,1.77663553170225,1.77663552989567,1.77663552987574,1.77663552987552,1.77663552987552,1.77663552987552,1.77663552987552,1.77663552987552,1.77663552987552
0.925510416872713,0.924688710602215,0.924679646231513,0.924679546241018,0.924679545138007,0.92467954512584,0.924679545125706,0.924679545125704,0.924679545125704,0.924679545125704,0.924679545125704,0.924679545125704
0.677976812413172,0.677733871177946,0.67773119125509,0.677731161692441,0.67773116136633,0.677731161362733,0.677731161362693,0.677731161362693,0.677731161362693,0.677731161362693,0.677731161362693,0.677731161362693
0.59242602743411,0.592342477755233,0.592341556105626,0.592341545938764,0.592341545826612,0.592341545825375,0.592341545825361,0.592341545825361,0.592341545825361,0.592341545825361,0.592341545825361,0.592341545825361
0.053620756467602,0.0531091397605197,0.0531034960364089,0.0531034337796034,0.0531034330928388,0.053103433085263,0.0531034330851794,0.0531034330851785,0.0531034330851785,0.0531034330851785,0.0531034330851785,0.0531034330851785
-0.00555280053433329,-0.00561405434763613,-0.00561473004805449,-0.00561473750181175,-0.00561473758403531,-0.00561473758494233,-0.00561473758495234,-0.00561473758495245,-0.00561473758495245,-0.00561473758495245,-0.00561473758495245,-0.00561473758495245
0.000460795670772332,0.000465878780063531,0.000465934852639089,0.000465935471184462,0.000465935478007733,0.000465935478083001,0.000465935478083832,0.000465935478083841,0.000465935478083841,0.000465935478083841,0.000465935478083841,0.000465935478083841
-3.82388398231952e-05,-3.86606584606494e-05,-3.86653116081749e-05,-3.86653629377748e-05,-3.86653635039997e-05,-3.86653635102458e-05,-3.86653635103147e-05,-3.86653635103155e-05,-3.86653635103155e-05,-3.86653635103155e-05,-3.86653635103155e-05,-3.86653635103155e-05
3.17322614722746e-06,3.20823050237909e-06,3.208616640909e-06,3.20862090046367e-06,3.20862094745148e-06,3.20862094796981e-06,3.20862094797553e-06,3.20862094797559e-06,3.2086209479756e-06,3.2086209479756e-06,3.2086209479756e-06,3.2086209479756e-06
-2.63328182235803e-07,-2.66232996700561e-07,-2.6626504016436e-07,-2.66265393640833e-07,-2.66265397540087e-07,-2.66265397583101e-07,-2.66265397583575e-07,-2.6626539758358e-07,-2.6626539758358e-07,-2.6626539758358e-07,-2.6626539758358e-07,-2.6626539758358e-07
2.18521240978044e-08,2.20931783048628e-08,2.20958374116151e-08,2.20958667446386e-08,2.20958670682158e-08,2.20958670717852e-08,2.20958670718246e-08,2.20958670718251e-08,2.20958670718251e-08,2.20958670718251e-08,2.20958670718251e-08,2.20958670718251e-08
-1.8133848171186e-09,-1.83338854935194e-09,-1.83360921365854e-09,-1.8336116478411e-09,-1.83361167469295e-09,-1.83361167498916e-09,-1.83361167499243e-09,-1.83361167499246e-09,-1.83361167499246e-09,-1.83361167499246e-09,-1.83361167499246e-09,-1.83361167499246e-09
1.50482602068265e-10,1.52142599245441e-10,1.52160910934569e-10,1.52161112933683e-10,1.52161115161967e-10,1.52161115186547e-10,1.52161115186819e-10,1.52161115186822e-10,1.52161115186822e-10,1.52161115186822e-10,1.52161115186822e-10,1.52161115186822e-10
-1.24877043810359e-11,-1.26254582059766e-11,-1.26269777900175e-11,-1.26269945527873e-11,-1.26269947377001e-11,-1.26269947397399e-11,-1.26269947397624e-11,-1.26269947397626e-11,-1.26269947397626e-11,-1.26269947397626e-11,-1.26269947397626e-11,-1.26269947397626e-11
1.03628431835197e-12,1.04771573314393e-12,1.0478418348728e-12,1.04784322592074e-12,1.04784324126561e-12,1.04784324143488e-12,1.04784324143675e-12,1.04784324143677e-12,1.04784324143677e-12,1.04784324143677e-12,1.04784324143677e-12,1.04784324143677e-12
-8.59954044150046e-14,-8.69440332040938e-14,-8.69544976769992e-14,-8.69546131122405e-14,-8.69546143856248e-14,-8.69546143996717e-14,-8.69546143998266e-14,-8.69546143998283e-14,-8.69546143998283e-14,-8.69546143998283e-14,-8.69546143998283e-14,-8.69546143998283e-14
7.13627471682771e-15,7.21499608210628e-15,7.21586446982918e-15,7.2158740491503e-15,7.21587415482129e-15,7.21587415598697e-15,7.21587415599983e-15,7.21587415599997e-15,7.21587415599997e-15,7.21587415599997e-15,7.21587415599997e-15,7.21587415599997e-15
-5.92199282978762e-16,-5.98731926118627e-16,-5.98803988729339e-16,-5.98804783663296e-16,-5.98804792432337e-16,-5.9880479252907e-16,-5.98804792530137e-16,-5.98804792530149e-16,-5.98804792530149e-16,-5.98804792530149e-16,-5.98804792530149e-16,-5.98804792530149e-16
4.91432861929475e-17,4.96853934879851e-17,4.96913735585522e-17,4.96914395256482e-17,4.96914402533416e-17,4.96914402613689e-17,4.96914402614574e-17,4.96914402614584e-17,4.96914402614584e-17,4.96914402614584e-17,4.96914402614584e-17,4.96914402614584e-17
-4.07812479220539e-18,-4.12311122618639e-18,-4.12360747859293e-18,-4.12361295283104e-18,-4.12361301321821e-18,-4.12361301388435e-18,-4.1236130138917e-18,-4.12361301389178e-18,-4.12361301389179e-18,-4.12361301389179e-18,-4.12361301389179e-18,-4.12361301389179e-18
3.38420628923814e-19,3.42153799941529e-19,3.42194981136339e-19,3.42195435412556e-19,3.42195440423748e-19,3.42195440479027e-19,3.42195440479637e-19,3.42195440479644e-19,3.42195440479644e-19,3.42195440479644e-19,3.42195440479644e-19,3.42195440479644e-19
-2.80836237037401e-20,-2.83934185599716e-20,-2.83968359556026e-20,-2.83968736534296e-20,-2.83968740692803e-20,-2.83968740738676e-20,-2.83968740739182e-20,-2.83968740739188e-20,-2.83968740739188e-20,-2.83968740739188e-20,-2.83968740739188e-20,-2.83968740739188e-20
2.33050190480802e-21,2.35621003671306e-21,2.35649362714681e-21,2.35649675547735e-21,2.35649678998645e-21,2.35649679036713e-21,2.35649679037133e-21,2.35649679037138e-21,2.35649679037138e-21,2.35649679037138e-21,2.35649679037138e-21,2.35649679037138e-21
-1.93395239361168e-22,-1.95528612568479e-22,-1.95552146142814e-22,-1.95552405745363e-22,-1.95552408609079e-22,-1.95552408640669e-22,-1.95552408641018e-22,-1.95552408641021e-22,-1.95552408641021e-22,-1.95552408641021e-22,-1.95552408641021e-22,-1.95552408641021e-22
1.60487826808468e-23,1.62258193188446e-23,1.62277722377554e-23,1.62277937807101e-23,1.62277940183538e-23,1.62277940209753e-23,1.62277940210042e-23,1.62277940210045e-23,1.62277940210046e-23,1.62277940210046e-23,1.62277940210046e-23,1.62277940210046e-23
