"viento","direccion","temperatura","humedad"
5.9,103,14.85,15
4.9,96,11.05,18
6.6,85,12.25,21
5.6,94,11.25,19
5.4,91,10.95,20
6.4,89,10.25,21
7.9,91,9.85,22
6.9,90,12.85,20
8.4,71,17.95,13
5.3,53,21.35,9
5.6,285,22.05,13
6.6,280,22.35,14
7,293,23.55,13
7.2,278,24.25,11
6.6,284,25.75,10
6.1,280,25.95,8
6.2,275,26.75,7
7.6,251,27.35,6
8.9,230,24.45,15
6.6,229,22.05,18
5.8,293,19.25,16
2.6,301,16.05,25
2.3,135,15.25,25
2.8,89,14.55,21
4.6,92,12.45,24
5,91,12.15,26
5.2,96,12.05,25
8.9,81,9.45,29
5.8,93,8.75,30
5.9,96,9.65,29
2.5,75,9.55,28
5,92,11.75,26
3.8,69,16.15,20
2.5,277,19.65,17
6.1,285,19.35,18
6.3,279,20.05,22
6.3,281,21.15,18
7.7,285,21.85,16
6.4,276,22.85,13
6.9,287,23.35,11
6.6,281,24.45,10
5.8,294,23.85,11
7.2,277,23.35,14
6.2,272,21.15,18
3.4,215,18.55,19
3.9,200,17.05,20
3.1,175,15.95,22
2.7,196,13.85,30
1.7,195,12.95,29
3.2,202,11.75,30
4.7,161,11.15,28
5.2,155,11.55,34
5.6,102,10.25,37
8.5,83,9.35,36
7.1,80,10.15,34
6.3,86,12.25,31
6.9,80,16.05,25
1.9,22,19.35,20
4.2,269,21.35,19
5.7,291,21.75,22
5.6,279,22.75,21
6.6,286,23.65,19
6.4,299,24.85,18
7.4,295,25.45,17
7,289,26.15,16
5.5,290,26.35,14
6.1,284,26.35,14
6.7,262,24.35,17
5.3,264,20.55,21
2.2,230,18.25,25
1,230,16.55,28
1.8,195,15.65,29
1.2,193,14.95,31
1.7,234,14.25,29
3.2,219,13.05,28
2.1,199,11.75,31
4.3,165,12.45,34
5.6,91,11.15,33
6.5,100,12.65,32
7.4,83,14.15,32
7.3,82,17.55,29
3.5,60,20.35,27
2.7,239,22.35,25
6.3,287,22.85,24
6.6,279,23.35,23
8.3,281,23.65,20
8.5,283,24.05,22
7.1,285,24.45,23
5.6,276,24.85,22
6.8,288,24.75,21
7.5,278,24.45,20
6,289,22.25,25
5.7,247,19.75,30
5,206,18.15,33
3,217,17.35,36
1.5,257,16.05,38
1.8,274,13.75,34
3.3,124,13.25,34
3.5,151,12.35,41
2.9,172,12.15,41
3.1,166,12.15,44
4.7,99,11.85,45
4.2,99,13.05,47
5.2,84,13.45,41
1,61,17.65,34
3.3,314,18.15,34
5.3,284,19.25,30
6.6,274,20.05,31
7.6,281,21.45,27
7.5,271,22.75,25
7.4,287,23.25,24
