"viento","direccion","temperatura","humedad"
10,84,7.15,41
9.8,69,5.55,44
10.7,76,8.55,38
7.7,76,13.85,31
3.4,72,18.65,26
3.8,284,20.85,24
5.4,261,21.95,24
7.5,268,21.95,25
8.5,281,22.45,24
8.1,277,22.85,20
9.5,283,23.35,20
12.6,260,22.45,21
11.2,244,21.15,26
9.8,246,19.65,29
5.6,245,17.65,33
3.8,271,15.75,37
0.7,285,14.95,40
2.4,232,14.85,38
2.8,180,13.55,34
8.7,79,9.75,44
9,73,8.55,45
9.4,80,9.05,44
11.7,79,8.15,46
10.6,85,8.55,49
11.9,80,8.05,51
10.4,80,9.15,56
11.8,82,10.05,50
8.4,62,16.45,38
3.7,84,19.15,36
3.4,295,21.25,31
6.5,291,20.95,30
7.4,298,21.65,28
8.9,289,22.45,18
9.3,306,22.55,15
10.4,283,22.75,13
8.8,288,22.45,13
9.9,280,23.15,15
10.7,253,22.05,17
8.7,240,18.85,25
4.6,265,16.55,30
2.1,267,15.15,32
1.8,38,13.45,32
2.7,146,14.05,29
4.8,72,11.95,29
6.9,88,10.05,34
9,80,10.05,33
8.1,80,8.65,35
9.3,78,10.55,33
10.9,84,9.95,33
11.6,75,8.75,38
8.3,77,9.55,38
9.8,66,16.45,26
7.1,69,19.85,23
8.3,327,21.15,24
8.1,309,21.35,21
7.7,284,22.05,20
8.5,295,22.45,19
6.8,279,22.65,20
8.4,279,23.65,20
9.9,292,23.05,20
9.9,242,22.55,24
10.1,249,20.25,26
7.4,260,18.15,28
1.6,257,16.05,29
1.8,306,14.95,33
1.8,103,14.15,30
2.9,87,10.45,37
2.4,104,12.25,33
6.7,79,8.45,37
9.2,85,9.65,38
10.4,75,7.45,40
9.6,72,7.35,39
8.8,59,6.85,42
9.7,67,6.25,44
10.4,74,9.05,39
8.4,73,15.75,27
3.4,69,18.95,24
1.8,256,22.15,20
7,270,20.95,20
6.3,284,21.95,19
7.6,261,22.65,18
7.6,266,23.55,17
7.1,291,23.45,18
9.3,264,23.95,18
11.1,267,23.05,21
10.8,248,20.15,26
8.5,246,18.05,32
5.3,258,16.45,35
3.1,294,14.75,39
1.5,112,13.85,41
4.2,88,12.25,42
6.4,77,9.35,43
8.4,79,10.45,44
10,79,9.15,46
10.3,72,8.15,48
12.5,80,7.55,48
12.8,86,9.25,46
13.2,82,7.95,50
11,75,9.45,46
8.8,81,16.25,36
4.1,80,19.75,29
5.7,267,20.45,28
6.8,258,21.25,27
6.9,271,21.95,26
7.2,293,23.05,24
8.2,279,23.55,22
8.9,277,23.75,22
11.5,257,23.55,23
10,250,21.45,28
9.7,248,20.85,29
8.6,253,18.65,34
5.4,263,16.75,37
2.7,302,15.45,38
1.1,356,15.15,39
4.3,114,13.65,40
6.8,75,10.85,44
6.9,83,11.25,46
9.6,83,9.05,47
8.8,80,10.35,47
8,87,9.65,49
9,82,8.35,52
9.3,77,7.35,53
10,76,9.85,48
6.9,72,15.65,37
1.6,153,19.35,31
3.5,268,20.55,29
4.6,245,21.85,27
6,260,22.25,26
6.2,269,22.75,25
8.7,284,23.05,22
10.2,285,23.35,20
11.2,252,22.45,27
11.4,250,21.35,30
8.5,252,19.55,33
8.4,248,17.75,38
5.4,260,15.65,43
1.7,302,14.05,48
2.1,108,12.85,49
6.1,75,10.65,50
9.5,81,10.85,52
10.7,78,9.75,50
9.9,76,8.45,51
9.8,77,9.65,49
12.2,77,7.55,52
10.1,79,10.45,48
10.5,71,7.25,53
10.8,71,8.75,49
6.7,77,15.05,38
1.9,111,18.95,30
3,232,20.85,26
5.1,265,20.65,28
6.8,279,21.55,26
7.1,286,22.35,22
8.2,275,22.85,19
10.3,272,23.65,16
11.5,266,23.25,18
10.4,244,21.55,21
8.9,247,20.45,21
8.3,255,18.55,24
3.9,270,15.85,28
1.4,338,14.65,34
3.4,111,13.85,33
2,102,10.75,34
7.3,79,10.45,31
8.3,84,9.35,33
10,83,9.65,31
10.1,71,6.45,33
11.5,82,8.05,31
11.2,87,7.25,32
11.2,75,7.65,32
10.7,80,9.85,29
6.9,81,14.25,24
1.9,239,18.65,20
3.4,269,20.35,18
4.1,272,21.45,18
7.7,260,21.95,19
8.8,257,22.75,18
10.2,269,23.35,18
10.4,256,23.25,17
11,251,22.15,20
10.3,251,20.55,23
7.8,248,19.15,25
7.4,257,17.05,33
4.6,268,14.25,42
1.1,302,12.85,49
3.3,87,11.85,41
5.1,87,9.45,46
5.7,80,9.95,45
7.8,77,7.75,41
9,80,8.25,39
9.1,77,6.65,41
9.6,79,8.15,40
8.8,82,7.85,39
10.4,76,5.85,40
9.5,83,8.15,36
6.5,71,13.15,29
1.8,216,17.05,25
3.4,263,18.65,24
5.9,273,19.65,23
6.4,238,20.45,22
7.5,250,21.65,20
8.9,260,22.05,19
10.8,253,22.45,17
9.5,273,21.65,20
8.4,255,20.55,24
8.3,246,19.35,25
6.8,259,17.95,28
4.9,258,15.35,32
2.6,283,13.55,36
3.8,88,12.75,37
4.9,79,10.15,39
5.9,89,9.15,40
6.8,75,7.65,41
6.6,80,7.65,40
7,85,6.95,41
8.8,82,7.25,39
10.5,76,5.15,43
11.7,83,4.65,45
10.6,75,9.05,37
6.8,77,13.35,31
1.4,132,17.35,28
3.7,250,18.95,22
6.5,264,19.55,24
7.3,270,20.05,24
7,243,21.05,21
7.9,273,21.75,20
9.7,263,22.65,20
9.7,259,21.75,23
8.3,263,21.35,24
9.5,254,19.55,27
7,251,17.75,29
4.7,265,14.85,42
1.8,255,13.15,49
1.3,109,12.25,51
3.5,128,11.45,49
1.8,82,10.95,48
5.8,88,8.45,47
8.3,85,8.05,47
9.7,78,7.35,46
11.4,76,5.65,45
11.8,85,6.05,47
10.5,78,7.05,42
11.1,77,7.25,41
7.1,87,13.55,33
1.2,146,18.85,27
4.5,273,19.65,25
6.2,262,20.05,24
6,246,20.75,23
6.3,266,21.35,22
7.2,266,22.25,21
8.6,270,23.05,17
8.3,264,22.45,17
8.9,266,22.05,20
8.6,250,20.65,23
8.3,253,18.95,25
5,275,16.55,30
0.4,237,14.95,35
1.7,106,14.15,36
1.6,95,13.05,31
5.8,92,10.95,33
5.9,85,9.45,32
6.1,89,8.35,33
9.3,83,8.25,33
10.1,81,7.85,33
9.9,86,8.35,33
10.4,85,8.75,34
10.3,82,10.85,31
8,72,15.05,25
2.5,241,19.45,22
4.5,270,20.35,22
6.5,280,20.75,22
6.4,260,21.55,20
7.8,268,22.65,20
9.8,252,23.15,19
8.5,263,23.85,15
8.8,271,23.25,14
9.2,254,22.45,16
10.3,252,21.15,16
8.9,261,18.95,17
4.8,271,16.35,23
1.8,278,14.55,38
2.2,132,13.15,37
4.4,78,10.45,31
5.2,77,9.45,28
6.6,82,9.55,35
8.9,78,9.25,30
10.2,81,8.35,28
9.8,78,9.25,25
11.8,77,7.75,26
9.4,86,8.35,26
9.7,75,9.95,24
8.6,78,14.15,19
1.2,56,19.25,17
6.6,257,20.05,17
5.9,253,20.05,18
7.6,271,20.85,18
8.7,274,21.75,17
8.9,263,22.15,18
9.4,281,22.35,15
10.3,275,22.05,22
10.1,258,20.95,25
9.7,246,18.95,31
7.3,251,17.15,34
3.7,261,15.05,35
1.7,271,13.85,36
1.4,95,12.75,34
1.6,85,11.25,42
1.1,81,11.75,39
5.5,82,9.05,40
5.9,79,7.75,41
7.4,85,7.95,39
4.3,97,7.25,39
7.1,77,5.85,42
7.8,89,6.15,41
9,74,8.75,35
6.5,69,13.35,30
2.8,261,17.55,21
5,262,18.35,24
6,271,18.45,22
7.5,267,18.75,24
7.2,277,20.25,23
6.9,278,20.75,21
11.2,255,20.95,22
8.9,267,19.95,26
8.7,247,18.85,31
8.8,256,17.05,38
6.5,257,15.05,41
3.6,247,12.85,50
1.3,270,11.75,56
1.9,99,11.05,52
3.4,77,10.45,51
2.3,89,10.75,51
4.9,77,8.45,52
5.2,80,8.25,50
7.3,82,6.75,51
7.9,89,6.25,53
9,80,7.85,49
9.9,79,7.55,49
8.3,81,10.25,43
4.1,69,14.85,35
4,271,16.75,31
5.4,277,16.95,28
6.4,258,18.65,26
6.3,278,19.35,22
6.5,260,20.25,20
7.6,277,21.25,19
7.5,293,21.75,18
9.1,264,21.55,18
8,254,21.25,17
10.7,253,19.95,20
8.4,268,17.75,16
2.8,289,15.05,17
2.4,260,13.65,19
1.1,19,12.45,21
2.2,126,11.25,19
4.4,76,10.05,20
4.4,87,10.25,22
6.8,78,8.45,23
8.1,88,8.75,25
8.6,86,8.95,27
9.8,82,7.65,29
7.2,94,7.45,29
10.5,85,10.25,27
7.2,88,15.15,22
2.6,34,20.25,19
6.8,276,19.55,17
6.1,258,20.55,16
7,264,21.75,13
7.1,260,22.35,13
8.5,262,22.85,14
8.1,251,23.05,14
9.9,256,22.05,16
9,257,20.85,16
8.2,252,18.85,16
4.5,262,16.95,18
1.8,294,15.15,19
1.9,108,14.45,20
2.5,123,14.55,20
3.5,76,11.65,22
6.9,77,10.45,22
5.8,86,10.15,21
7.2,85,9.95,26
9.9,77,9.55,25
10.2,77,8.45,27
11,84,9.05,28
10.4,85,10.95,28
7.7,81,12.25,27
7.4,68,15.95,24
2.1,73,20.15,18
2.5,215,22.05,16
5.1,236,22.35,18
6.2,272,23.65,17
6.1,241,24.55,16
8.1,250,25.15,16
9.3,264,25.55,15
10,258,25.05,14
7.7,255,23.75,18
9.1,250,22.15,20
7,248,20.35,20
3.9,263,18.15,25
0.9,313,17.05,27
2.1,92,15.05,25
2.7,71,15.65,24
2.8,104,11.95,28
8.1,75,11.25,28
7.5,73,10.85,28
9,79,11.15,28
9.1,82,10.75,28
9.8,81,10.45,30
10.5,77,10.45,30
9.6,78,13.05,27
8.1,70,15.65,24
2.5,245,21.15,18
5.8,256,21.35,18
6.7,266,21.85,17
5.7,256,22.85,17
7.3,281,23.85,16
8.4,267,24.45,16
9,265,25.05,15
10.5,259,25.05,13
11.3,262,23.75,20
8.6,243,21.85,25
6.6,256,19.95,29
4.3,262,17.65,37
2.9,243,16.25,39
1.1,169,16.15,35
3.4,267,16.75,28
4.4,88,13.25,35
8.1,86,10.95,39
8.3,74,10.15,36
9.6,86,10.65,35
9.8,83,9.95,35
10.1,78,9.35,35
11.2,80,8.55,36
9.8,83,10.85,34
7.2,85,14.95,29
2.2,139,19.85,24
2.8,261,21.85,23
7,259,22.25,22
7.2,264,22.05,23
7.2,289,22.35,22
7.8,271,23.25,21
8.1,275,22.75,21
10.8,269,22.95,20
8.8,267,23.25,20
8.7,259,22.05,26
7.8,250,19.85,32
5,268,17.05,39
2.1,293,15.25,49
3.4,118,14.35,51
