"viento","direccion","temperatura","humedad"
11.5,9,12.95,12
11.5,11,11.65,16
9.9,18,14.95,19
9.5,14,20.15,16
8.3,360,21.95,15
6.4,355,23.25,14
4.5,7,25.25,11
9,236,24.75,7
10.1,211,23.95,9
11,228,23.25,12
8.7,229,23.45,11
8.3,219,21.95,14
7.9,201,20.85,11
5.3,206,19.75,10
5.1,223,19.15,11
1.2,223,17.15,15
2.5,53,17.15,13
5.2,22,16.15,14
7.5,33,15.15,20
10,21,15.35,19
11.4,20,15.45,18
10.1,24,15.15,21
10.2,23,13.35,24
11,33,14.05,27
12.7,32,13.95,25
11.3,31,14.35,29
10.9,28,16.45,27
13.2,16,19.75,22
12.2,9,21.95,20
11.9,10,23.05,20
10.6,12,24.25,15
9.1,7,25.65,12
4.9,359,26.35,9
9.1,226,24.45,13
8.6,221,23.55,16
8.5,208,22.35,18
6.8,214,21.75,17
5.5,199,20.95,18
4.8,221,19.85,18
2.3,244,17.45,28
1.4,19,17.45,23
7.2,12,15.85,16
9.8,13,15.25,18
9,29,15.05,17
9.7,19,15.35,17
11,18,13.65,19
10.9,15,13.05,22
10.4,14,13.35,22
10.7,13,12.65,24
10.1,18,14.25,21
8,27,16.85,17
6.9,14,20.15,13
7.3,8,22.05,13
5.4,354,23.65,12
7.8,344,24.75,15
5.6,359,25.75,14
4.1,327,26.35,13
9.7,230,24.95,15
10.6,213,23.95,16
8.5,210,22.35,17
7.7,215,21.65,16
5.5,215,20.85,12
4.2,221,20.15,11
2.8,256,18.35,13
0.5,54,17.25,14
0,84,17.25,15
2.2,18,16.95,23
6.7,10,16.45,14
8.9,8,12.85,23
9.4,26,15.45,15
9.8,22,15.75,15
9.8,17,14.45,14
9.9,23,14.35,14
9.9,15,14.75,15
8.6,11,15.35,15
5.7,14,19.35,12
3.1,190,21.85,15
3.8,328,24.05,17
6.8,341,24.85,14
4.9,13,25.95,12
7.9,220,24.55,14
8.8,218,24.15,13
7.4,219,23.75,12
8.1,224,22.85,14
7.5,225,22.35,16
6,210,21.55,17
5.6,223,20.45,17
2.8,243,18.45,17
