,0,1,2,3,4,5,6,7,8,9,10,11
63,5.3,6.3,7.5,8.9,8.0,9.6,7.9,6.0,6.0,6.0,6.7,5.9
64,6.3,7.5,8.9,8.0,9.6,7.9,6.0,6.0,6.0,6.7,5.9,5.7
65,7.5,8.9,8.0,9.6,7.9,6.0,6.0,6.0,6.7,5.9,5.7,8.2
66,8.9,8.0,9.6,7.9,6.0,6.0,6.0,6.7,5.9,5.7,8.2,4.8
67,8.0,9.6,7.9,6.0,6.0,6.0,6.7,5.9,5.7,8.2,4.8,4.9
68,9.6,7.9,6.0,6.0,6.0,6.7,5.9,5.7,8.2,4.8,4.9,7.1
69,7.9,6.0,6.0,6.0,6.7,5.9,5.7,8.2,4.8,4.9,7.1,7.9
70,6.0,6.0,6.0,6.7,5.9,5.7,8.2,4.8,4.9,7.1,7.9,9.5
71,6.0,6.0,6.7,5.9,5.7,8.2,4.8,4.9,7.1,7.9,9.5,7.4
72,6.0,6.7,5.9,5.7,8.2,4.8,4.9,7.1,7.9,9.5,7.4,13.5
73,6.7,5.9,5.7,8.2,4.8,4.9,7.1,7.9,9.5,7.4,13.5,14.8
74,5.9,5.7,8.2,4.8,4.9,7.1,7.9,9.5,7.4,13.5,14.8,16.7
75,5.7,8.2,4.8,4.9,7.1,7.9,9.5,7.4,13.5,14.8,16.7,16.7
76,8.2,4.8,4.9,7.1,7.9,9.5,7.4,13.5,14.8,16.7,16.7,14.6
77,4.8,4.9,7.1,7.9,9.5,7.4,13.5,14.8,16.7,16.7,14.6,16.5
78,4.9,7.1,7.9,9.5,7.4,13.5,14.8,16.7,16.7,14.6,16.5,18.1
79,7.1,7.9,9.5,7.4,13.5,14.8,16.7,16.7,14.6,16.5,18.1,14.1
80,7.9,9.5,7.4,13.5,14.8,16.7,16.7,14.6,16.5,18.1,14.1,14.8
81,9.5,7.4,13.5,14.8,16.7,16.7,14.6,16.5,18.1,14.1,14.8,16.3
82,7.4,13.5,14.8,16.7,16.7,14.6,16.5,18.1,14.1,14.8,16.3,16.6
83,13.5,14.8,16.7,16.7,14.6,16.5,18.1,14.1,14.8,16.3,16.6,12.5
84,14.8,16.7,16.7,14.6,16.5,18.1,14.1,14.8,16.3,16.6,12.5,9.2
85,16.7,16.7,14.6,16.5,18.1,14.1,14.8,16.3,16.6,12.5,9.2,9.3
86,16.7,14.6,16.5,18.1,14.1,14.8,16.3,16.6,12.5,9.2,9.3,9.0
87,14.6,16.5,18.1,14.1,14.8,16.3,16.6,12.5,9.2,9.3,9.0,9.8
88,16.5,18.1,14.1,14.8,16.3,16.6,12.5,9.2,9.3,9.0,9.8,9.7
89,18.1,14.1,14.8,16.3,16.6,12.5,9.2,9.3,9.0,9.8,9.7,10.3
90,14.1,14.8,16.3,16.6,12.5,9.2,9.3,9.0,9.8,9.7,10.3,10.9
91,14.8,16.3,16.6,12.5,9.2,9.3,9.0,9.8,9.7,10.3,10.9,10.8
92,16.3,16.6,12.5,9.2,9.3,9.0,9.8,9.7,10.3,10.9,10.8,13.3
93,16.6,12.5,9.2,9.3,9.0,9.8,9.7,10.3,10.9,10.8,13.3,14.8
94,12.5,9.2,9.3,9.0,9.8,9.7,10.3,10.9,10.8,13.3,14.8,13.8
95,9.2,9.3,9.0,9.8,9.7,10.3,10.9,10.8,13.3,14.8,13.8,13.2
96,9.3,9.0,9.8,9.7,10.3,10.9,10.8,13.3,14.8,13.8,13.2,16.3
97,9.0,9.8,9.7,10.3,10.9,10.8,13.3,14.8,13.8,13.2,16.3,15.1
98,9.8,9.7,10.3,10.9,10.8,13.3,14.8,13.8,13.2,16.3,15.1,18.4
99,9.7,10.3,10.9,10.8,13.3,14.8,13.8,13.2,16.3,15.1,18.4,16.7
100,10.3,10.9,10.8,13.3,14.8,13.8,13.2,16.3,15.1,18.4,16.7,17.1
101,10.9,10.8,13.3,14.8,13.8,13.2,16.3,15.1,18.4,16.7,17.1,17.1
102,10.8,13.3,14.8,13.8,13.2,16.3,15.1,18.4,16.7,17.1,17.1,17.3
103,13.3,14.8,13.8,13.2,16.3,15.1,18.4,16.7,17.1,17.1,17.3,16.5
104,14.8,13.8,13.2,16.3,15.1,18.4,16.7,17.1,17.1,17.3,16.5,16.3
