,input_dim,loss,nodes,output_dim,score,source,lags
2,24,mean_squared_error,15,12,0.034889239166609874,monte,24
2,6,mean_squared_error,15,12,0.04086095659254384,monte,6
2,12,mean_squared_error,15,12,0.037985259140151176,monte,12
