,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores,source,lags
59,0.3,100.0,0.1584893192461111,0.2,1.0,75.86420757370895,monte,24
83,0.3,100.0,0.003981071705534969,0.5,1.0,84.57009124092953,monte,1
77,0.3,100.0,0.003981071705534969,0.2,1.0,79.31550102228155,monte,12
89,0.3,100.0,0.003981071705534969,0.9,1.0,81.12403468223657,monte,6
