,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores,source,lags
89,0.3,100.0,0.003981071705534969,0.9,1.0,65.76920944016634,totoral,12
89,0.3,100.0,0.003981071705534969,0.9,1.0,66.82561821927766,totoral,6
83,0.3,100.0,0.003981071705534969,0.5,1.0,63.347873094898645,totoral,24
83,0.3,100.0,0.003981071705534969,0.5,1.0,69.0380708748725,totoral,1
