,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores
0,0.3,100,10000.0,0.2,1e-05,100.68306402297878
1,0.3,100,10000.0,0.2,0.0001,100.6830643392381
2,0.3,100,10000.0,0.2,0.001,100.68306749295154
3,0.3,100,10000.0,0.2,0.01,100.68309814201366
4,0.3,100,10000.0,0.2,0.1,100.68331556406172
5,0.3,100,10000.0,0.2,1.0,100.6761482260115
6,0.3,100,10000.0,0.5,1e-05,100.6830641116029
7,0.3,100,10000.0,0.5,0.0001,100.68306522546298
8,0.3,100,10000.0,0.5,0.001,100.68307635333065
9,0.3,100,10000.0,0.5,0.01,100.68318655869706
10,0.3,100,10000.0,0.5,0.1,100.68418111316926
11,0.3,100,10000.0,0.5,1.0,100.68305956335979
12,0.3,100,10000.0,0.9,1e-05,100.68306385364026
13,0.3,100,10000.0,0.9,0.0001,100.68306264582645
14,0.3,100,10000.0,0.9,0.001,100.68305055622098
15,0.3,100,10000.0,0.9,0.01,100.68292851263253
16,0.3,100,10000.0,0.9,0.1,100.68159214170402
17,0.3,100,10000.0,0.9,1.0,100.65541240716313
18,0.3,100,251.18864315095797,0.2,1e-05,93.42055860625861
19,0.3,100,251.18864315095797,0.2,0.0001,93.42055435699189
20,0.3,100,251.18864315095797,0.2,0.001,93.42051160134564
21,0.3,100,251.18864315095797,0.2,0.01,93.420057746132
22,0.3,100,251.18864315095797,0.2,0.1,93.41289062166709
23,0.3,100,251.18864315095797,0.2,1.0,93.09989104003756
24,0.3,100,251.18864315095797,0.5,1e-05,93.4205586580827
25,0.3,100,251.18864315095797,0.5,0.0001,93.42055487508749
26,0.3,100,251.18864315095797,0.5,0.001,93.42051676795182
27,0.3,100,251.18864315095797,0.5,0.01,93.4201079705045
28,0.3,100,251.18864315095797,0.5,0.1,93.41324241293081
29,0.3,100,251.18864315095797,0.5,1.0,93.0837099638694
30,0.3,100,251.18864315095797,0.9,1e-05,93.42055911258689
31,0.3,100,251.18864315095797,0.9,0.0001,93.42055941993063
32,0.3,100,251.18864315095797,0.9,0.001,93.42056219639805
33,0.3,100,251.18864315095797,0.9,0.01,93.42056024129624
34,0.3,100,251.18864315095797,0.9,0.1,93.41754891080518
35,0.3,100,251.18864315095797,0.9,1.0,93.1007977809332
36,0.3,100,6.30957344480193,0.2,1e-05,91.9463359554585
37,0.3,100,6.30957344480193,0.2,0.0001,91.94633433727562
38,0.3,100,6.30957344480193,0.2,0.001,91.94630453519362
39,0.3,100,6.30957344480193,0.2,0.01,91.94464473781682
40,0.3,100,6.30957344480193,0.2,0.1,91.79548032981363
41,0.3,100,6.30957344480193,0.2,1.0,87.92782575650529
42,0.3,100,6.30957344480193,0.5,1e-05,91.94633509774542
43,0.3,100,6.30957344480193,0.5,0.0001,91.94632574678543
44,0.3,100,6.30957344480193,0.5,0.001,91.94621729415793
45,0.3,100,6.30957344480193,0.5,0.01,91.94363866671205
46,0.3,100,6.30957344480193,0.5,0.1,91.77267986465249
47,0.3,100,6.30957344480193,0.5,1.0,87.78751922099349
48,0.3,100,6.30957344480193,0.9,1e-05,91.94633254526123
49,0.3,100,6.30957344480193,0.9,0.0001,91.94630022110607
50,0.3,100,6.30957344480193,0.9,0.001,91.94596195411214
51,0.3,100,6.30957344480193,0.9,0.01,91.94107711517738
52,0.3,100,6.30957344480193,0.9,0.1,91.74651693091079
53,0.3,100,6.30957344480193,0.9,1.0,87.76351162182245
54,0.3,100,0.1584893192461111,0.2,1e-05,91.478939102977
55,0.3,100,0.1584893192461111,0.2,0.0001,91.47892574184546
56,0.3,100,0.1584893192461111,0.2,0.001,91.4782636979097
57,0.3,100,0.1584893192461111,0.2,0.01,91.41938403752927
58,0.3,100,0.1584893192461111,0.2,0.1,88.61242926480912
59,0.3,100,0.1584893192461111,0.2,1.0,86.36937706856008
60,0.3,100,0.1584893192461111,0.5,1e-05,91.47893576478053
61,0.3,100,0.1584893192461111,0.5,0.0001,91.47889187907367
62,0.3,100,0.1584893192461111,0.5,0.001,91.47787703879561
63,0.3,100,0.1584893192461111,0.5,0.01,91.41086300998184
64,0.3,100,0.1584893192461111,0.5,0.1,88.49457863488804
65,0.3,100,0.1584893192461111,0.5,1.0,86.26979033878003
66,0.3,100,0.1584893192461111,0.9,1e-05,91.47892525058516
