,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores
0,0.3,100,10000.0,0.2,1e-05,89.45155633436502
1,0.3,100,10000.0,0.2,0.0001,89.45154605033069
2,0.3,100,10000.0,0.2,0.001,89.45144323085111
3,0.3,100,10000.0,0.2,0.01,89.45041712508775
4,0.3,100,10000.0,0.2,0.1,89.44036758389073
5,0.3,100,10000.0,0.2,1.0,89.36302013596577
6,0.3,100,10000.0,0.5,1e-05,89.45155656703706
7,0.3,100,10000.0,0.5,0.0001,89.45154837705417
8,0.3,100,10000.0,0.5,0.001,89.45146649800184
9,0.3,100,10000.0,0.5,0.01,89.45064978864862
10,0.3,100,10000.0,0.5,0.1,89.44269379795044
11,0.3,100,10000.0,0.5,1.0,89.3864813511916
12,0.3,100,10000.0,0.9,1e-05,89.45155702202202
13,0.3,100,10000.0,0.9,0.0001,89.45155292670808
14,0.3,100,10000.0,0.9,0.001,89.45151197529627
15,0.3,100,10000.0,0.9,0.01,89.45110263446482
16,0.3,100,10000.0,0.9,0.1,89.44702656446351
17,0.3,100,10000.0,0.9,1.0,89.40806286586955
18,0.3,100,251.18864315095797,0.2,1e-05,78.44331056798747
19,0.3,100,251.18864315095797,0.2,0.0001,78.44331038433843
20,0.3,100,251.18864315095797,0.2,0.001,78.44330853725099
21,0.3,100,251.18864315095797,0.2,0.01,78.44328900209935
22,0.3,100,251.18864315095797,0.2,0.1,78.44298312443362
23,0.3,100,251.18864315095797,0.2,1.0,78.42531041580997
24,0.3,100,251.18864315095797,0.5,1e-05,78.44331059312847
25,0.3,100,251.18864315095797,0.5,0.0001,78.4433106356852
26,0.3,100,251.18864315095797,0.5,0.001,78.44331104389508
27,0.3,100,251.18864315095797,0.5,0.01,78.44331338897396
28,0.3,100,251.18864315095797,0.5,0.1,78.44316176675973
29,0.3,100,251.18864315095797,0.5,1.0,78.42383716273079
30,0.3,100,251.18864315095797,0.9,1e-05,78.44331045343264
31,0.3,100,251.18864315095797,0.9,0.0001,78.4433092387757
32,0.3,100,251.18864315095797,0.9,0.001,78.44329708008671
33,0.3,100,251.18864315095797,0.9,0.01,78.4431742805676
34,0.3,100,251.18864315095797,0.9,0.1,78.44182444078344
35,0.3,100,251.18864315095797,0.9,1.0,78.41609500548178
36,0.3,100,6.30957344480193,0.2,1e-05,76.21179021515243
37,0.3,100,6.30957344480193,0.2,0.0001,76.21178363680606
38,0.3,100,6.30957344480193,0.2,0.001,76.21171775332334
39,0.3,100,6.30957344480193,0.2,0.01,76.21104893730093
40,0.3,100,6.30957344480193,0.2,0.1,76.20338682948461
41,0.3,100,6.30957344480193,0.2,1.0,76.06755520775079
42,0.3,100,6.30957344480193,0.5,1e-05,76.211789885761
43,0.3,100,6.30957344480193,0.5,0.0001,76.21178034312543
44,0.3,100,6.30957344480193,0.5,0.001,76.2116848397551
45,0.3,100,6.30957344480193,0.5,0.01,76.21072215991416
46,0.3,100,6.30957344480193,0.5,0.1,76.20038873322375
47,0.3,100,6.30957344480193,0.5,1.0,76.07847386620868
48,0.3,100,6.30957344480193,0.9,1e-05,76.21179043048109
49,0.3,100,6.30957344480193,0.9,0.0001,76.21178579055476
50,0.3,100,6.30957344480193,0.9,0.001,76.21173933668388
51,0.3,100,6.30957344480193,0.9,0.01,76.21126934421581
52,0.3,100,6.30957344480193,0.9,0.1,76.20603342169424
53,0.3,100,6.30957344480193,0.9,1.0,76.12182305965524
54,0.3,100,0.1584893192461111,0.2,1e-05,76.03906430657848
55,0.3,100,0.1584893192461111,0.2,0.0001,76.03905565025978
56,0.3,100,0.1584893192461111,0.2,0.001,76.03896896102852
57,0.3,100,0.1584893192461111,0.2,0.01,76.03808950784712
58,0.3,100,0.1584893192461111,0.2,0.1,76.02808768746306
59,0.3,100,0.1584893192461111,0.2,1.0,75.86420757370895
60,0.3,100,0.1584893192461111,0.5,1e-05,76.03906388814711
61,0.3,100,0.1584893192461111,0.5,0.0001,76.03905146632763
62,0.3,100,0.1584893192461111,0.5,0.001,76.03892715978964
63,0.3,100,0.1584893192461111,0.5,0.01,76.03767536141571
64,0.3,100,0.1584893192461111,0.5,0.1,76.02438867487963
65,0.3,100,0.1584893192461111,0.5,1.0,75.87977564827388
66,0.3,100,0.1584893192461111,0.9,1e-05,76.03906455132567
67,0.3,100,0.1584893192461111,0.9,0.0001,76.0390580983779
68,0.3,100,0.1584893192461111,0.9,0.001,76.03899350662066
69,0.3,100,0.1584893192461111,0.9,0.01,76.03834138338519
70,0.3,100,0.1584893192461111,0.9,0.1,76.03122544531142
71,0.3,100,0.1584893192461111,0.9,1.0,75.9340620875937
72,0.3,100,0.003981071705534969,0.2,1e-05,76.03913265476166
73,0.3,100,0.003981071705534969,0.2,0.0001,76.03912403301975
74,0.3,100,0.003981071705534969,0.2,0.001,76.03903768961706
75,0.3,100,0.003981071705534969,0.2,0.01,76.03816170084303
76,0.3,100,0.003981071705534969,0.2,0.1,76.0281955383292
77,0.3,100,0.003981071705534969,0.2,1.0,75.86508900581698
78,0.3,100,0.003981071705534969,0.5,1e-05,76.03913223692956
79,0.3,100,0.003981071705534969,0.5,0.0001,76.03911985508026
80,0.3,100,0.003981071705534969,0.5,0.001,76.03899594842335
81,0.3,100,0.003981071705534969,0.5,0.01,76.03774816727021
82,0.3,100,0.003981071705534969,0.5,0.1,76.02450414237991
83,0.3,100,0.003981071705534969,0.5,1.0,75.88082026158195
84,0.3,100,0.003981071705534969,0.9,1e-05,76.03913289439488
85,0.3,100,0.003981071705534969,0.9,0.0001,76.03912642999573
86,0.3,100,0.003981071705534969,0.9,0.001,76.03906172378659
87,0.3,100,0.003981071705534969,0.9,0.01,76.03840846206596
88,0.3,100,0.003981071705534969,0.9,0.1,76.03128173570771
89,0.3,100,0.003981071705534969,0.9,1.0,75.93405324644782
90,0.3,100,0.0001,0.2,1e-05,76.03914886278908
91,0.3,100,0.0001,0.2,0.0001,76.03914024234633
92,0.3,100,0.0001,0.2,0.001,76.03905391193949
93,0.3,100,0.0001,0.2,0.01,76.03817805371675
94,0.3,100,0.0001,0.2,0.1,76.0282132651969
95,0.3,100,0.0001,0.2,1.0,75.8651372894425
96,0.3,100,0.0001,0.5,1e-05,76.03914844498668
97,0.3,100,0.0001,0.5,0.0001,76.03913606470304
98,0.3,100,0.0001,0.5,0.001,76.03901217370918
99,0.3,100,0.0001,0.5,0.01,76.03776454994032
100,0.3,100,0.0001,0.5,0.1,76.02452218657776
101,0.3,100,0.0001,0.5,1.0,75.8808733046383
102,0.3,100,0.0001,0.9,1e-05,76.03914910225735
103,0.3,100,0.0001,0.9,0.0001,76.03914263767493
104,0.3,100,0.0001,0.9,0.001,76.03907792963498
105,0.3,100,0.0001,0.9,0.01,76.03842465004035
106,0.3,100,0.0001,0.9,0.1,76.03129778407943
107,0.3,100,0.0001,0.9,1.0,75.93406895072498
108,0.45,100,10000.0,0.2,1e-05,87.58602124872749
109,0.45,100,10000.0,0.2,0.0001,87.58600881698597
110,0.45,100,10000.0,0.2,0.001,87.58588451629778
111,0.45,100,10000.0,0.2,0.01,87.58464318607889
112,0.45,100,10000.0,0.2,0.1,87.57240183812524
113,0.45,100,10000.0,0.2,1.0,87.47089393278232
114,0.45,100,10000.0,0.5,1e-05,87.58602130567965
115,0.45,100,10000.0,0.5,0.0001,87.58600938653119
116,0.45,100,10000.0,0.5,0.001,87.58589021395045
117,0.45,100,10000.0,0.5,0.01,87.5847003833493
118,0.45,100,10000.0,0.5,0.1,87.57299622665464
119,0.45,100,10000.0,0.5,1.0,87.47921280255429
120,0.45,100,10000.0,0.9,1e-05,87.5860222451592
121,0.45,100,10000.0,0.9,0.0001,87.58601878111506
122,0.45,100,10000.0,0.9,0.001,87.58598413847092
123,0.45,100,10000.0,0.9,0.01,87.58563749163547
124,0.45,100,10000.0,0.9,0.1,87.58214888907362
125,0.45,100,10000.0,0.9,1.0,87.54502154480464
126,0.45,100,251.18864315095797,0.2,1e-05,78.30131506187655
127,0.45,100,251.18864315095797,0.2,0.0001,78.30131026816836
128,0.45,100,251.18864315095797,0.2,0.001,78.30126232516658
129,0.45,100,251.18864315095797,0.2,0.01,78.30078230502401
130,0.45,100,251.18864315095797,0.2,0.1,78.29592503143134
131,0.45,100,251.18864315095797,0.2,1.0,78.24344914835247
132,0.45,100,251.18864315095797,0.5,1e-05,78.30131528984352
133,0.45,100,251.18864315095797,0.5,0.0001,78.30131254780156
134,0.45,100,251.18864315095797,0.5,0.001,78.30128511809906
135,0.45,100,251.18864315095797,0.5,0.01,78.30100989448441
136,0.45,100,251.18864315095797,0.5,0.1,78.29816691825098
137,0.45,100,251.18864315095797,0.5,1.0,78.26266485261303
138,0.45,100,251.18864315095797,0.9,1e-05,78.30131526242809
139,0.45,100,251.18864315095797,0.9,0.0001,78.30131227365247
140,0.45,100,251.18864315095797,0.9,0.001,78.3012823769969
141,0.45,100,251.18864315095797,0.9,0.01,78.3009825200676
142,0.45,100,251.18864315095797,0.9,0.1,78.29789494922366
143,0.45,100,251.18864315095797,0.9,1.0,78.25826134609909
144,0.45,100,6.30957344480193,0.2,1e-05,76.32641314411268
145,0.45,100,6.30957344480193,0.2,0.0001,76.32641014891665
146,0.45,100,6.30957344480193,0.2,0.001,76.3263801740699
147,0.45,100,6.30957344480193,0.2,0.01,76.32607813966568
148,0.45,100,6.30957344480193,0.2,0.1,76.3228326124411
149,0.45,100,6.30957344480193,0.2,1.0,76.27193794756606
