"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
7.13743934325218,7.7522641148938,7.93387294188278,7.82049691246483,7.84648413316409,7.55068885696514,7.06771669583684,6.73965478779163,6.43009756630702,6.1917067081019,5.94946004711829,5.67247427655104
5.93185160221479,6.42413153709733,6.50476379849646,6.67715079560818,6.50053457666086,6.11841761086044,5.8776564747401,5.64476299812585,5.47435563870087,5.29281599106007,5.07031973413408,4.9006502493481
4.60946596035352,5.00033479338062,5.36632938051018,5.33574343802047,5.07246480088593,4.93224466257431,4.78636222557253,4.69235143891206,4.57854892148605,4.41653249299595,4.30114302685396,4.54067116803223
2.69444761212861,3.40782092872625,3.60509263432959,3.51942742730797,3.52716952725168,3.50868424431937,3.52644948038212,3.51188017632253,3.43865932786117,3.40316840923452,3.7148832361675,4.21604622954961
2.86581301621963,3.27709333562555,3.2963006171728,3.36824731206635,3.39314608947908,3.44187335372969,3.45015393417185,3.39416445600685,3.37185240446747,3.69373701353685,4.20278740575499,4.84609616546444
1.7360457916036,2.04480088828685,2.29127736101504,2.44461410972003,2.59595723445944,2.68981951821859,2.70704660096855,2.7484107601043,3.1263026170759,3.68501631080252,4.37263079856597,4.83414613670096
2.4884996908726,2.87445370210044,3.0639352777096,3.21610686256251,3.29491189832726,3.28921027375012,3.30372982120223,3.65302804854173,4.1826638046863,4.84148162518851,5.2749520622485,5.9335347866428
1.82431815336237,2.2662287963833,2.55870168826667,2.73438144803163,2.80219013069439,2.87545215221417,3.27321756633586,3.84370728612779,4.53748717752683,5.001214436328,5.68620750795524,6.51632227327971
2.20774434402073,2.67766576254592,2.92450470014856,3.02542977724733,3.11340836279608,3.5157005231836,4.08466324703427,4.77319575091333,5.22937344298317,5.90542189673938,6.72579801684652,7.33262562186804
2.94477431617273,3.34444310178191,3.4938256284929,3.59398656599483,3.99169129160027,4.54737988210154,5.2179705882059,5.65376424080063,6.30830510172595,7.10686542920201,7.69208543715571,8.21518428880037
2.75067467603087,3.11797952297585,3.32662191202456,3.79185918116368,4.39400064757958,5.09838324199821,5.55963629020849,6.23381484115936,7.04777298570473,7.64520894570445,8.17808203966198,8.61744284355504
2.72384064152182,3.13531099832535,3.69511069870973,4.35194950248392,5.09094918883266,5.57507994286462,6.26465354729391,7.08896870667711,7.69324445473971,8.2304418485743,8.67229973155617,9.08728348737976
3.90010968441655,4.57510797781825,5.24570315986757,5.96488614971132,6.41492204850487,7.06401171479558,7.84529398185176,8.40604833128831,8.90040237958646,9.30077004034735,9.67600373255739,10.0486626593721
2.27884363306527,3.29608994443473,4.24245963731147,4.86949026475824,5.66597164346092,6.57412496313191,7.24617019909004,7.83931010001828,8.32806081412417,8.78281264884088,9.22730747690028,9.62686339819621
2.46158356043181,3.64407820787588,4.39637556051245,5.27586775947027,6.2447470050735,6.96374579846909,7.59448192168237,8.11406211009485,8.59453209015152,9.06075959904115,9.47886546477658,9.49261091214576
3.6501156587442,4.57498291971274,5.52113555518152,6.51898275149358,7.24887268662607,7.88060800296112,8.39540831764945,8.86763131997772,9.32354323709027,9.73015383835889,9.73180860177323,9.49541394639267
3.4614759624618,4.66484929265664,5.80741631994428,6.63825545160434,7.3472582860901,7.92426572793519,8.44815079252981,8.94786277758839,9.39215215360718,9.42656890459475,9.21889469581198,8.85478587586586
4.05390339024845,5.41569155798368,6.35620982787143,7.13384963387144,7.75832838256446,8.31694446557885,8.8429818503444,9.30770748847367,9.35825844724869,9.1634792416584,8.80977084038521,8.63907753476277
3.78404394272266,5.02096046371138,5.97944706958471,6.73818893232606,7.40479243982267,8.02136483135951,8.56387464146455,8.68231376178659,8.54742578850763,8.24696224402433,8.12387734146244,7.7521377109085
3.76970960194026,4.99583196937761,5.90889775356211,6.68530671891849,7.38731329103482,7.99956098791674,8.17660654232782,8.09192228051091,7.83504253017002,7.75016483616154,7.41216687729431,6.88690298996682
3.86217283694308,5.03398305842648,5.95651695006379,6.76076840529695,7.45147841738796,7.69183286231628,7.65982663656141,7.44768381846118,7.40134881391233,7.09690948801247,6.60110066133325,6.27941154884552
4.52516943034958,5.65920205564502,6.56601155285298,7.31879192928183,7.60056238728336,7.59770338580416,7.40673695925316,7.37609013973235,7.08340665683783,6.59645539296576,6.2814436368489,5.98748250960017
5.29129506503231,6.39894908907733,7.24446289783019,7.57924411053259,7.60944694524921,7.43992406984716,7.42334982057584,7.13980384535996,6.65856782015852,6.34684337834134,6.05442309020201,5.82213819281235
5.75733453703566,6.8243883985457,7.27098709807731,7.37179874891941,7.25156548593443,7.27139897703343,7.0157245643627,6.55635057107298,6.26207508829451,5.98376218058495,5.76299567651487,5.54318764682306
4.8806648746721,5.64725845165296,5.95067616111384,5.9847709712168,6.13109447394822,5.98301693847546,5.61716045326712,5.40528138106236,5.2002382598632,5.04505343642217,4.88423001832392,4.71415508420878
4.60518093324724,5.16041842780872,5.33425270481883,5.57693283949626,5.50188786080472,5.19433329957469,5.03051516779966,4.86595139654811,4.74538319985855,4.614498057603,4.47053972861867,4.32649032675869
3.99027738485009,4.42561456268465,4.81696329750156,4.84650881086412,4.61957953132105,4.5210648356629,4.4110183394028,4.33688310027418,4.24610461061595,4.13714709866712,4.02388264486535,4.27917963998336
3.37365067341815,4.01756671979543,4.18754101986099,4.05760401769793,4.0327080292844,3.98150396645549,3.95592809006771,3.90608856267083,3.83217150175705,3.7492361467111,4.03101013817705,4.51514014178138
3.29125024579062,3.68916906479735,3.67695532746612,3.7281140756989,3.7312214954464,3.746684198201,3.72898648866299,3.68086920859626,3.61901394598469,3.91824371056713,4.41697977526931,5.03300869408114
3.35614761725666,3.54214064747985,3.68360045970179,3.73747566385513,3.78393188294118,3.78577045584207,3.74996698810974,3.69562742216111,3.99907689783301,4.49972119954138,5.11601926297475,5.51171024464534
2.73097688940825,3.10679667784806,3.28431106009954,3.4122772824271,3.47345782639961,3.48333172384489,3.46541155951289,3.79860532277686,4.32396708192346,4.96107505753972,5.37446506702032,6.00707398382842
5.30414184315506,5.48853737685365,5.53037674826149,5.47963484313948,5.37048001077638,5.23375546852156,5.4516943747942,5.86693638379448,6.3997883889778,6.71505748778066,7.25569524017561,7.91817487654149
4.010918019335,4.33750928547755,4.45687467544227,4.47207969129616,4.43421043232387,4.73426328464787,5.21952411661126,5.81310358859137,6.18166079739614,6.76945444094929,7.47392763625705,8.01863174366096
4.60135374569197,4.87379578769548,4.9376858396275,4.91220879789696,5.20786773942186,5.68003289314028,6.25583512692022,6.6041600422795,7.170586023222,7.85337246035573,8.37658795779177,8.83341942124565
4.11898698011597,4.41297590808817,4.5072087377855,4.8807543340585,5.40892024488729,6.02731879581561,6.4092219726944,7.00277232846716,7.70786031159341,8.24965792637943,8.72213409159324,9.11908434342126
3.84572950031656,4.15587927229016,4.63605709229153,5.23005031023646,5.89332928007289,6.30757432870994,6.92524697008253,7.6487396482132,8.20479809305603,8.68844175558212,9.09419943364101,9.47156901404037
