,input_dim,loss,nodes,output_dim,score
0,12,mean_squared_error,5,12,0.023003634498093298
1,12,mean_squared_error,10,12,0.02298844546119298
2,12,mean_squared_error,15,12,0.0229647427402019
3,12,mean_squared_error,20,12,0.02289887394362705
