,leaking_rate,n_reservoir,regularization,sparsity,spectral_radius,scores,lags
83,0.3,100.0,0.003981071705534969,0.5,1.0,82.69330936608752,1
83,0.3,100.0,0.003981071705534969,0.5,1.0,78.20584821385563,6
77,0.3,100.0,0.003981071705534969,0.2,1.0,76.04647071869148,12
65,0.3,100.0,0.1584893192461111,0.5,1.0,72.39535511972693,24
